seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,32,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,32,Train,9,4,智训练,33,"#0 1655[速训练 失败率22% 属性+225 PT+23] | #1 1559[耐训练 失败率20% 属性+229 PT+21] | #2 934[力训练 失败率17% 属性+93 PT+13] | #3 479[根训练 失败率22% 属性+66 PT+8] | #4 4941[智训练 失败率0% 属性+200 PT+55] | #5 2010[比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 86[休息] | #7 15[普通外出] | #8 4691[友人外出#3 选项2 动态事件2372 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,32,Event,2,0,事件#102 追加训练:  智5  体力-5 羁绊+5 /   体力5,2,
1001,33,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,33,Train,9,5,比赛,32,"#0 1215[速训练 失败率13% 属性+157 PT+16] | #1 585[耐训练 失败率11% 属性+98 PT+8] | #2 566[力训练 失败率11% 属性+69 PT+8] | #3 547[根训练 失败率13% 属性+67 PT+8] | #4 820[智训练 失败率0% 属性+54 PT+9] | #5 2011[比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 73[休息] | #7 15[普通外出] | #8 4487[友人外出#3 选项2 动态事件2381 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+0]"
1001,33,Event,2,0,事件#4101 G1比赛:  速5 耐5 力5 根5 智5 78pt 体力-15 / [大成功] 速5 耐5 力5 根5 智5 78pt 体力-5 (33%) | [成功] 速5 耐5 力5 根5 智5 78pt 体力-20 (66%),2,
1001,34,RamenSelect,3,0,不吃面,34,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #2 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,34,Train,9,6,休息,26,"#0 391[速训练 失败率43% 属性+121 PT+9] | #1 833[耐训练 失败率41% 属性+150 PT+17] | #2 334[力训练 失败率41% 属性+64 PT+8] | #3 1081[根训练 失败率37% 属性+118 PT+20] | #4 3265[智训练 失败率6% 属性+171 PT+38] | #5 2010[比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 111[休息] | #7 15[普通外出] | #8 3475[友人外出#3 选项2 动态事件2382 材料+2(库存0也不禁用) 饥饿+1014 未来+0 主动+0]"
1001,35,RamenSelect,4,2,吃面/京都-耐根,95,#0 0[不吃面] | #1 2656[吃面/中山-全] | #2 2660[吃面/京都-耐根] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,35,SpecialSelect,1,0,吃面/京都-耐根,0,仅1候选: 吃面/京都-耐根
1001,35,Train,9,1,耐训练,69,"#0 7346[速训练 失败率0% 属性+618 PT+79] | #1 12616[耐训练 失败率0% 属性+865 PT+136] | #2 830[力训练 失败率0% 属性+77 PT+10] | #3 2963[根训练 失败率0% 属性+160 PT+30] | #4 915[智训练 失败率0% 属性+64 PT+10] | #5 2010[比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2968[友人外出#3 选项2 动态事件2382 材料+2(库存0也不禁用) 饥饿+507 未来+0 主动+0]"
1001,35,Event,2,0,事件#102 追加训练:  耐5  体力-5 羁绊+5 /   体力5,3,
